Изображение,Лучший класс,Уверенность,Статус,Класс_1,Вероятность_1,Класс_2,Вероятность_2,Класс_3,Вероятность_3,Класс_4,Вероятность_4,Класс_5,Вероятность_5
img (52).jpg,box turtle,0.1123,Сомнительное распознавание,box turtle,0.1123,mud turtle,0.0672,terrapin,0.0518,cheeseburger,0.0391,mashed potato,0.0277
img (53).jpg,passenger car,0.313,Удачное распознавание,passenger car,0.313,minibus,0.1599,limousine,0.012,trolleybus,0.0103,recreational vehicle,0.0093
img (54).jpg,crash helmet,0.4464,Удачное распознавание,crash helmet,0.4464,grille,0.09,sports car,0.0251,car wheel,0.0113,car mirror,0.0088
img (55).jpg,pizza,0.5094,Удачное распознавание,pizza,0.5094,broccoli,0.0026,potpie,0.0021,bagel,0.0021,soup bowl,0.0019
img (56).jpg,sports car,0.3816,Удачное распознавание,sports car,0.3816,car wheel,0.0476,minivan,0.0192,grille,0.0187,convertible,0.0181
img (57).jpg,Granny Smith,0.1567,Сомнительное распознавание,Granny Smith,0.1567,orange,0.075,banana,0.0543,fig,0.0251,bagel,0.0215
img (58).jpg,giant panda,0.3832,Удачное распознавание,giant panda,0.3832,teddy,0.0022,lesser panda,0.0021,bighorn,0.0019,limousine,0.0019
img (59).jpg,sports car,0.2944,Сомнительное распознавание,sports car,0.2944,racer,0.0694,car wheel,0.0235,cab,0.0103,passenger car,0.0056
img (6).jpg,eggnog,0.1047,Сомнительное распознавание,eggnog,0.1047,beer glass,0.075,coffee mug,0.0618,espresso,0.0269,measuring cup,0.0264
img (60).jpg,mountain bike,0.5592,Удачное распознавание,mountain bike,0.5592,bicycle-built-for-two,0.0416,moped,0.0225,tricycle,0.0136,alp,0.0069
img (61).jpg,airliner,0.3137,Удачное распознавание,airliner,0.3137,warplane,0.1181,wing,0.0319,space shuttle,0.011,missile,0.0048
img (62).jpg,cellular telephone,0.2903,Сомнительное распознавание,cellular telephone,0.2903,modem,0.0686,hard disc,0.0506,iPod,0.0269,desktop computer,0.0211
img (63).jpg,cup,0.2512,Сомнительное распознавание,cup,0.2512,coffee mug,0.096,measuring cup,0.0836,pitcher,0.0458,bucket,0.0226
img (64).jpg,spotlight,0.7944,Удачное распознавание,spotlight,0.7944,crutch,0.0077,table lamp,0.0073,corkscrew,0.0063,soap dispenser,0.0037
img (65).jpg,table lamp,0.1336,Сомнительное распознавание,table lamp,0.1336,vacuum,0.089,spotlight,0.0381,microphone,0.0169,plunger,0.0166
img (66).jpg,pizza,0.3965,Удачное распознавание,pizza,0.3965,potpie,0.0089,hot pot,0.0046,consomme,0.0038,spaghetti squash,0.0033
img (67).jpg,banana,0.3276,Удачное распознавание,banana,0.3276,orange,0.0117,grocery store,0.0101,lemon,0.0071,gondola,0.0053
img (68).jpg,cheeseburger,0.271,Сомнительное распознавание,cheeseburger,0.271,bagel,0.0265,meat loaf,0.0135,French loaf,0.0101,plate,0.0053
img (69).jpg,traffic light,0.3692,Удачное распознавание,traffic light,0.3692,street sign,0.005,hook,0.0022,packet,0.0022,beacon,0.0015
img (7).jpg,passenger car,0.6182,Удачное распознавание,passenger car,0.6182,recreational vehicle,0.0395,minibus,0.0232,moving van,0.0181,trolleybus,0.0139
img (70).jpg,pier,0.3772,Удачное распознавание,pier,0.3772,steel arch bridge,0.1508,suspension bridge,0.0191,viaduct,0.0051,fireboat,0.0032
img (71).jpg,lakeside,0.1275,Сомнительное распознавание,lakeside,0.1275,solar dish,0.0884,bell cote,0.0848,seashore,0.0558,jinrikisha,0.0145
img (72).jpg,patio,0.2362,Сомнительное распознавание,patio,0.2362,sliding door,0.0596,window screen,0.0416,greenhouse,0.0326,bannister,0.025
img (73).jpg,weasel,0.1201,Сомнительное распознавание,weasel,0.1201,mink,0.1176,Arctic fox,0.022,ice bear,0.0174,nematode,0.0159
img (74).jpg,cup,0.1552,Сомнительное распознавание,cup,0.1552,coffee mug,0.077,espresso maker,0.035,espresso,0.0338,eggnog,0.0249
img (75).jpg,kelpie,0.1671,Сомнительное распознавание,kelpie,0.1671,black-and-tan coonhound,0.0686,EntleBucher,0.0541,miniature pinscher,0.0486,Rottweiler,0.0408
img (76).jpg,crash helmet,0.2677,Сомнительное распознавание,crash helmet,0.2677,warplane,0.0248,projectile,0.0213,sports car,0.0203,cannon,0.0177
img (77).jpg,shield,0.1858,Сомнительное распознавание,shield,0.1858,ocarina,0.1108,toilet seat,0.0514,wall clock,0.0326,tray,0.0268
img (78).jpg,tiger,0.5534,Удачное распознавание,tiger,0.5534,tiger cat,0.0395,tabby,0.0111,Egyptian cat,0.0088,lynx,0.0042
img (79).jpg,red wolf,0.2104,Сомнительное распознавание,red wolf,0.2104,timber wolf,0.162,coyote,0.0715,dingo,0.0357,dhole,0.0271
img (8).jpg,passenger car,0.4962,Удачное распознавание,passenger car,0.4962,moving van,0.035,recreational vehicle,0.0347,trailer truck,0.0288,minibus,0.0229
img (80).jpg,red fox,0.3205,Удачное распознавание,red fox,0.3205,kit fox,0.1467,grey fox,0.0758,dhole,0.0264,red wolf,0.0084
img (81).jpg,coyote,0.3687,Удачное распознавание,coyote,0.3687,red wolf,0.0276,grey fox,0.0246,dhole,0.0141,timber wolf,0.0051
img (82).jpg,brown bear,0.4046,Удачное распознавание,brown bear,0.4046,sloth bear,0.0097,American black bear,0.0045,patas,0.0043,Norwich terrier,0.0035
img (83).jpg,airliner,0.4642,Удачное распознавание,airliner,0.4642,wing,0.096,warplane,0.0247,projectile,0.0048,missile,0.0039
img (84).jpg,limousine,0.1595,Сомнительное распознавание,limousine,0.1595,trailer truck,0.0517,dock,0.0428,grille,0.0318,minivan,0.0237
img (85).jpg,brown bear,0.4969,Удачное распознавание,brown bear,0.4969,sloth bear,0.0018,American black bear,0.0016,wild boar,0.0011,bison,0.001
img (86).jpg,soccer ball,0.5075,Удачное распознавание,soccer ball,0.5075,volleyball,0.0207,basketball,0.0156,knee pad,0.0075,rugby ball,0.0045
img (87).jpg,analog clock,0.4885,Удачное распознавание,analog clock,0.4885,wall clock,0.077,stopwatch,0.015,barometer,0.0069,magnetic compass,0.0067
img (88).jpg,golden retriever,0.3144,Удачное распознавание,golden retriever,0.3144,flat-coated retriever,0.0241,tennis ball,0.0077,kuvasz,0.0048,soccer ball,0.004
img (89).jpg,notebook,0.4167,Удачное распознавание,notebook,0.4167,laptop,0.0801,modem,0.026,computer keyboard,0.0236,space bar,0.0189
img (9).jpg,sports car,0.3145,Удачное распознавание,sports car,0.3145,racer,0.0654,window shade,0.0431,car wheel,0.0341,pickup,0.0057
img (90).jpg,envelope,0.1282,Сомнительное распознавание,envelope,0.1282,jigsaw puzzle,0.0562,web site,0.048,rule,0.0238,wall clock,0.0153
img (91).jpg,volcano,0.5685,Удачное распознавание,volcano,0.5685,alp,0.0021,lakeside,0.0016,valley,0.0012,geyser,0.0011
img (92).jpg,pizza,0.6647,Удачное распознавание,pizza,0.6647,dough,0.0022,cauliflower,0.0014,pomegranate,0.0013,frying pan,0.0012
img (93).jpg,iPod,0.196,Сомнительное распознавание,iPod,0.196,desktop computer,0.0511,cellular telephone,0.0432,loudspeaker,0.0308,remote control,0.0247
img (94).jpg,bell pepper,0.0793,Сомнительное распознавание,bell pepper,0.0793,plate,0.0313,wok,0.0309,frying pan,0.0248,grocery store,0.0227
img (95).jpg,tiger,0.3417,Удачное распознавание,tiger,0.3417,tiger cat,0.1238,jaguar,0.0017,lynx,0.0013,basenji,0.0012
img (96).jpg,bath towel,0.0391,Сомнительное распознавание,bath towel,0.0391,rubber eraser,0.0356,theater curtain,0.0198,pill bottle,0.0191,hamper,0.0173
img (97).jpg,pop bottle,0.3232,Удачное распознавание,pop bottle,0.3232,saltshaker,0.0302,water bottle,0.0243,nipple,0.0217,beer bottle,0.0162
img (98).jpg,meerkat,0.3811,Удачное распознавание,meerkat,0.3811,mongoose,0.1108,black-footed ferret,0.0077,weasel,0.0038,hyena,0.0015
img (99).jpg,pizza,0.426,Удачное распознавание,pizza,0.426,frying pan,0.0034,umbrella,0.0033,sundial,0.0032,wall clock,0.0028
